Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Prix,Immatriculation
Essence,Six cylindres en ligne,Turbo,Injection directe essence,2998.0,4750.0,450.0,24.0,11.0,Euro 6,Longitudinale Avant,286.0,210.0,82.0,94.6,55075273,7e546927-d3e3-477f-8971-b0cd70187264
Essence,Six cylindres en V,Atmosphérique,Injection multipoints,2597.0,4500.0,240.0,18.0,10.5,Euro 4,Longitudinale Avant,170.0,125.0,89.9,68.2,24613286,fb2f74bc-f6e0-4624-967c-78d9466accfa
Diesel,Six cylindres en V,Bi-Turbos à géométrie variable,Injection directe à rampe commune,2720.0,1900.0,435.0,24.0,17.3,,Longitudinale Avant,208.0,153.0,81.0,88.0,27841422,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
Essence,Six cylindres en ligne,Atmosphérique,Injection multipoints,2979.0,3500.0,300.0,24.0,10.2,,Longitudinale Avant,231.0,170.0,84.0,89.6,29377040,0285f39e-16ab-410d-939c-37de56206408
Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1686.0,2300.0,240.0,16.0,18.4,Euro 4,Transversale Avant,100.0,74.0,79.0,86.0,12418476,3ea13155-3031-4ade-836f-c72c593b671c
Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2231.0,3600.0,340.0,16.0,15.7,Euro 5,Transversale Avant,150.0,110.0,86.0,96.0,24436356,0937655d-3cb1-4311-a657-c8fd974daa63
Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1461.0,1750.0,240.0,8.0,15.6,Euro 5,Transversale Avant,110.0,81.0,76.0,80.5,18894778,31e0569c-600e-46cb-8f91-45c525e89821
Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1997.0,1750.0,250.0,8.0,17.6,Euro 3,Transversale Avant,110.0,79.0,85.0,88.0,15489712,0e6a4256-8917-42b3-bfdf-84c419f3f429
Essence,,,,690.0,,,,,,,,,,,5880749,105a5377-e006-4fc2-85f3-21b4c566ca78
Diesel,Trois cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1496.0,4000.0,270.0,12.0,16.5,Euro 6,Transversale Avant,116.0,85.0,84.0,90.0,25905208,cc2a91d6-c28b-4997-b885-a71f2c6c019c
Essence,Trois cylindres en ligne,Turbo,Injection,599.0,,,6.0,,,,55.0,40.0,,,7531872,1765e318-7203-47ad-92c7-fadec4a45636
